ID,Trail,Endpoints,Miles,node_A,node_B,cost_A_to_B,cost_B_to_A,is_required,node_A_is_campsite,node_B_is_campsite,elev_A,elev_B,gain_A_to_B,gain_B_to_A,is_trail_closed,node_A_overnight_closed,node_B_overnight_closed
185.3,Lakeshore,Campsite 81 - Ollie Cove Trail,2.7,BC081,TI054,3912,3844,1,1,0,1811,1912,795,691,0,0,0
186,Lakeshore,Ollie Cove Trail - Hazel Creek/Proctor Bridge,0.7,TI054,TI052,931,1093,1,0,0,1912,1728,67,252,0,0,0
187.1,Lakeshore,Hazel Creek/Proctor Bridge - Campsite 88,1.4,TI052,BC088,1960,1753,1,0,1,1728,1903,327,151,0,0,0
187.2,Lakeshore,Campsite 88 - Eagle Creek,3,BC088,TI032,4547,4631,1,1,0,1903,1734,841,1010,0,0,0
188,Lakeshore,Eagle Creek - CS #90,0.5,TI032,BC090,627,633,1,0,1,1734,1738,68,64,0,0,0
189,Lakeshore,CS #90 - Lost Cove,0.3,BC090,TI030,505,399,1,1,0,1738,1841,116,12,0,0,0
190,Lakeshore,Lost Cove - Fontana/Lakeview Drive West,5.2,TI030,TH025,7571,7574,1,0,0,1841,1887,1316,1271,0,0,0
191,Laurel Falls,Little River Road - Little Greenbrier,3.1,TH092,TI083,4969,3790,1,0,0,2290,3640,1454,104,0,0,0
192,Laurel Falls,Little Greenbrier - Cove Mountain,0.9,TI083,TI086,1523,1232,1,0,0,3640,4028,458,70,0,0,0
193,Lead Cove,Laurel Creek Road - Bote Mountain,1.8,TH041,TI046,3319,2426,1,0,0,1828,3018,1212,22,0,0,0
194.1,Little Bottoms,Cooper Road - Campsite 17,1.6,BC001,BC017,2454,2414,1,1,1,1190,1240,431,382,0,0,0
194.2,Little Bottoms,Campsite 17 - Hatcher Mountain,0.7,BC017,TI005,1167,1043,1,1,0,1240,1417,316,139,0,0,0
195,Little Bottoms,Hatcher Mountain - Abrams Falls Trail,0.2,TI005,TI004,263,371,1,0,0,1417,1269,0,147,0,0,0
196,Little Brier Gap,Metcalf Bottoms - Little Greenbrier,1.4,TH073,TI078,2088,1710,1,0,0,1784,2170,465,79,0,0,0
197,Little Cataloochee,Pretty Hollow Gap - Long Bunk,4.1,TI262,TI274,6296,6108,1,0,0,2867,3070,1226,1023,0,0,0
198,Little Cataloochee,Long Bunk - Old NC 284 Road,1,TI274,TH276,1445,1491,1,0,0,3070,3011,225,284,0,0,0
